0.0.0.0;0.255.255.255;IANA;保留地址
1.0.0.0;1.0.0.0;美国;亚太互联网络信息中心(CloudFlare节点)
1.0.0.1;1.0.0.1;美国;Cloudflare公共DNS
1.0.0.2;1.0.0.255;美国;亚太互联网络信息中心(CloudFlare节点)
1.0.1.0;1.0.3.255;福建省;电信
1.0.4.0;1.0.7.255;澳大利亚;墨尔本Goldenit有限公司
1.0.8.0;1.0.15.255;广东省;电信
1.0.16.0;1.0.31.255;日本;东京I2Ts Inc
1.0.32.0;1.0.63.255;广东省;电信
1.0.64.0;1.0.127.255;日本;Energia通讯
1.0.128.0;1.0.255.255;泰国;TOTNET
1.1.0.0;1.1.0.255;福建省;电信
1.1.1.0;1.1.1.0;美国;亚太互联网络信息中心(CloudFlare节点)
1.1.1.1;1.1.1.1;美国;Cloudflare公共DNS
1.1.1.2;1.1.1.255;美国;亚太互联网络信息中心(CloudFlare节点)
1.1.2.0;1.1.7.255;福建省;电信
1.1.8.0;1.1.63.255;广东省;电信
1.1.64.0;1.1.127.255;日本;东京i2ts
1.1.128.0;1.1.255.255;泰国;TOT公共有限公司
1.2.0.0;1.2.1.255;福建省;电信
1.2.2.0;1.2.2.255;北京市海淀区;北龙中网(北京)科技有限公司
1.2.3.0;1.2.3.255;澳大利亚;APNIC Debogon-prefix网络
1.2.4.0;1.2.4.7;北京市;中国互联网络信息中心
1.2.4.8;1.2.4.8;北京市;中国互联网络信息中心SecureDNS服务器
1.2.4.9;1.2.4.255;北京市;中国互联网络信息中心
1.2.5.0;1.2.7.255;福建省;电信
1.2.8.0;1.2.8.255;中国;网络信息中心
1.2.9.0;1.2.127.255;广东省;电信
1.2.128.0;1.2.191.255;泰国;TOTNET
1.2.192.0;1.2.255.255;泰国;CZ88.NET
1.3.0.0;1.3.255.255;广东省;电信
1.4.0.0;1.4.0.255;澳大利亚;APNIC Debogon-prefix网络
1.4.1.0;1.4.3.255;福建省;电信
1.4.4.0;1.4.4.255;北京市海淀区;北龙中网(北京)科技有限公司
1.4.5.0;1.4.7.255;福建省;电信
1.4.8.0;1.4.127.255;广东省;电信
1.4.128.0;1.4.255.255;泰国;TOTNET
1.5.0.0;1.5.255.255;日本;港区东
1.6.0.0;1.7.255.255;印度;Sify
1.8.0.0;1.8.255.255;北京市海淀区;北龙中网(北京)科技有限公司
1.9.0.0;1.9.255.255;马来西亚;Tmnet大马电讯
1.10.0.0;1.10.7.255;广东省;电信
1.10.8.0;1.10.9.255;福建省;电信
1.10.10.0;1.10.10.255;澳大利亚;APNIC Debogon-prefix网络
1.10.11.0;1.10.15.255;福建省;电信
1.10.16.0;1.10.127.255;广东省;电信
1.10.128.0;1.10.139.255;泰国;TOTNET
1.10.140.0;1.10.140.254;泰国;CZ88.NET
1.10.140.255;1.10.255.255;泰国;TOT-AS-AP
1.11.0.0;1.11.255.255;韩国;首尔CJ-HELLOVISION
1.12.0.0;1.13.223.255;北京市;北京北大方正宽带网络科技有限公司
1.13.224.0;1.13.255.255;辽宁省大连市甘井子区;方正宽带
1.14.0.0;1.15.255.255;北京市;北京北大方正宽带网络科技有限公司
1.16.0.0;1.16.63.255;韩国;DAOU
1.16.64.0;1.19.255.255;韩国;CZ88.NET
1.20.0.0;1.20.255.255;泰国;TOT移动
1.21.0.0;1.21.255.255;日本;东京都ARTERIA网络公司
1.22.0.0;1.23.255.255;印度;Tikona数字网络
1.24.0.0;1.24.7.255;内蒙古;联通
1.24.8.0;1.24.15.255;内蒙古锡林郭勒盟;联通
1.24.16.0;1.24.23.255;内蒙古;联通
1.24.24.0;1.24.31.255;内蒙古鄂尔多斯市;联通
1.24.32.0;1.24.39.255;内蒙古乌兰察布市;联通
1.24.40.0;1.24.40.255;内蒙古锡林郭勒盟;联通
1.24.41.0;1.24.41.255;内蒙古锡林郭勒盟苏尼特右旗;联通
1.24.42.0;1.24.63.255;内蒙古锡林郭勒盟;联通
1.24.64.0;1.24.79.255;内蒙古;联通
